INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 10 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [1: 25/1125]  train_loss=12.67  val_loss=127
INFO:Train: [1: 50/1125]  train_loss=13.55  val_loss=113.2
INFO:Train: [1: 75/1125]  train_loss=9.551  val_loss=7840
INFO:Train: [1: 100/1125]  train_loss=4.746  val_loss=1841
INFO:Train: [1: 125/1125]  train_loss=6.704  val_loss=67.42
INFO:Train: [1: 150/1125]  train_loss=45.97  val_loss=59.28
INFO:Train: [1: 175/1125]  train_loss=2.591  val_loss=5.792
INFO:Train: [1: 200/1125]  train_loss=1.04  val_loss=3.921
INFO:Train: [1: 225/1125]  train_loss=4.007  val_loss=1.91
INFO:Train: [1: 250/1125]  train_loss=0.797  val_loss=1.473
INFO:Train: [1: 275/1125]  train_loss=3.168  val_loss=2.122
INFO:Train: [1: 300/1125]  train_loss=40.46  val_loss=8.377
INFO:Train: [1: 325/1125]  train_loss=0.7032  val_loss=1.006
INFO:Train: [1: 350/1125]  train_loss=1.936  val_loss=2.027
INFO:Train: [1: 375/1125]  train_loss=0.7246  val_loss=1.02
INFO:Train: [1: 400/1125]  train_loss=2.506  val_loss=18.82
INFO:Train: [1: 425/1125]  train_loss=8.701  val_loss=34.42
INFO:Train: [1: 450/1125]  train_loss=4.508  val_loss=35.78
INFO:Train: [1: 475/1125]  train_loss=11.09  val_loss=38.44
INFO:Train: [1: 500/1125]  train_loss=10.74  val_loss=37.79
INFO:Train: [1: 525/1125]  train_loss=1.432  val_loss=37.79
INFO:Train: [1: 550/1125]  train_loss=6.716  val_loss=35.63
INFO:Train: [1: 575/1125]  train_loss=4.294  val_loss=37.02
INFO:Train: [1: 600/1125]  train_loss=2.936  val_loss=35.75
INFO:Train: [1: 625/1125]  train_loss=11.23  val_loss=37.81
INFO:Train: [1: 650/1125]  train_loss=3.491  val_loss=35.86
INFO:Train: [1: 675/1125]  train_loss=8.473  val_loss=32.36
INFO:Train: [1: 700/1125]  train_loss=6.93  val_loss=3.647
INFO:Train: [1: 725/1125]  train_loss=2.071  val_loss=32.74
INFO:Train: [1: 750/1125]  train_loss=5.382  val_loss=23.77
INFO:Train: [1: 775/1125]  train_loss=7.15  val_loss=18.82
INFO:Train: [1: 800/1125]  train_loss=3.72  val_loss=20.66
INFO:Train: [1: 825/1125]  train_loss=17.47  val_loss=16.22
INFO:Train: [1: 850/1125]  train_loss=2.682  val_loss=375.8
INFO:Train: [1: 875/1125]  train_loss=3.334  val_loss=15.16
INFO:Train: [1: 900/1125]  train_loss=3.581  val_loss=15.08
INFO:Train: [1: 925/1125]  train_loss=3.015  val_loss=15.95
INFO:Train: [1: 950/1125]  train_loss=3.301  val_loss=18.79
INFO:Train: [1: 975/1125]  train_loss=5.265  val_loss=20.78
INFO:Train: [1: 1000/1125]  train_loss=5.886  val_loss=45.45
INFO:Train: [1: 1025/1125]  train_loss=6.756  val_loss=36.89
INFO:Train: [1: 1050/1125]  train_loss=8.402  val_loss=171.9
INFO:Train: [1: 1075/1125]  train_loss=14.78  val_loss=14.96
