INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 10 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [1: 25/1125]  train_loss=2.676  val_loss=2.274
INFO:Train: [1: 50/1125]  train_loss=1.128  val_loss=2.386
INFO:Train: [1: 75/1125]  train_loss=0.9853  val_loss=1.928
INFO:Train: [1: 100/1125]  train_loss=2.016  val_loss=2.744
INFO:Train: [1: 125/1125]  train_loss=2.27  val_loss=2.968
INFO:Train: [1: 150/1125]  train_loss=0.9235  val_loss=2.657
INFO:Train: [1: 175/1125]  train_loss=3.644  val_loss=2.353
INFO:Train: [1: 200/1125]  train_loss=1.685  val_loss=2.861
INFO:Train: [1: 225/1125]  train_loss=1.742  val_loss=2.778
INFO:Train: [1: 250/1125]  train_loss=1.556  val_loss=1.938
INFO:Train: [1: 275/1125]  train_loss=0.722  val_loss=1.175
INFO:Train: [1: 300/1125]  train_loss=0.6208  val_loss=1.288
INFO:Train: [1: 325/1125]  train_loss=0.6896  val_loss=0.9333
INFO:Train: [1: 350/1125]  train_loss=0.7331  val_loss=0.9172
INFO:Train: [1: 375/1125]  train_loss=0.6729  val_loss=0.9124
INFO:Train: [1: 400/1125]  train_loss=0.705  val_loss=0.9111
INFO:Train: [1: 425/1125]  train_loss=1.196  val_loss=0.91
INFO:Train: [1: 450/1125]  train_loss=0.9475  val_loss=0.9084
INFO:Train: [1: 475/1125]  train_loss=0.7745  val_loss=0.9067
INFO:Train: [1: 500/1125]  train_loss=0.6369  val_loss=0.9045
INFO:Train: [1: 525/1125]  train_loss=0.7585  val_loss=0.9013
INFO:Train: [1: 550/1125]  train_loss=0.7537  val_loss=0.8983
INFO:Train: [1: 575/1125]  train_loss=0.6251  val_loss=0.894
INFO:Train: [1: 600/1125]  train_loss=0.6065  val_loss=0.8884
INFO:Train: [1: 625/1125]  train_loss=0.751  val_loss=0.8825
INFO:Train: [1: 650/1125]  train_loss=0.9904  val_loss=0.8755
INFO:Train: [1: 675/1125]  train_loss=0.6485  val_loss=0.8859
INFO:Train: [1: 700/1125]  train_loss=0.7969  val_loss=0.8458
INFO:Train: [1: 725/1125]  train_loss=0.5632  val_loss=0.8394
INFO:Train: [1: 750/1125]  train_loss=0.7368  val_loss=0.8324
INFO:Train: [1: 775/1125]  train_loss=0.7969  val_loss=0.8367
INFO:Train: [1: 800/1125]  train_loss=0.8239  val_loss=0.8309
INFO:Train: [1: 825/1125]  train_loss=0.5856  val_loss=0.8239
INFO:Train: [1: 850/1125]  train_loss=0.5548  val_loss=0.8153
INFO:Train: [1: 875/1125]  train_loss=1.341  val_loss=0.807
INFO:Train: [1: 900/1125]  train_loss=0.5857  val_loss=0.8116
INFO:Train: [1: 925/1125]  train_loss=0.6847  val_loss=0.8797
INFO:Train: [1: 950/1125]  train_loss=0.6572  val_loss=0.8712
INFO:Train: [1: 975/1125]  train_loss=0.8541  val_loss=0.9079
